DEPT,DPHI,NPHI,GR,CALI,ILD
481.75,0.286,0.406,56.506,250.389,4.358
482,0.307,0.395,54.925,250.657,4.109
482.25,0.312,0.404,55.266,250.91,3.961
482.5,0.303,0.423,56.788,251.063,3.891
482.75,0.295,0.468,63.018,251.119,3.837
483,0.298,0.509,61.314,250.856,3.841
483.25,0.303,0.468,56.445,250.598,3.925
483.5,0.309,0.449,56.913,250.03,4.002
483.75,0.307,0.442,58.494,249.368,4.113
484,0.306,0.432,57.594,249.207,4.178
484.25,0.303,0.431,56.758,249.153,4.253
484.5,0.291,0.444,57.721,249.417,4.314
484.75,0.278,0.481,60.107,249.878,4.309
485,0.268,0.479,63.61,250.04,4.233
485.25,0.275,0.459,69.968,250.096,4.174
485.5,0.289,0.447,64.231,250.037,4.109
485.75,0.298,0.428,57.812,250.194,4.036
486,0.307,0.416,53.319,250.462,3.92
486.25,0.316,0.444,53.288,250.72,3.815
486.5,0.325,0.444,56.853,251.072,3.713
486.75,0.323,0.427,60.361,252.671,3.634
487,0.318,0.422,60.015,254.084,3.544
487.25,0.31,0.451,58.437,254.548,3.514
487.5,0.303,0.457,59.335,254.915,3.452
487.75,0.291,0.457,61.227,255.055,3.379
488,0.314,0.447,57.662,255.116,3.332
488.25,0.319,0.426,58.687,255.158,3.268
488.5,0.316,0.447,63.058,255.211,3.222
488.75,0.306,0.456,68.172,254.641,3.206
489,0.294,0.436,65.601,254.175,3.167
489.25,0.286,0.416,59.182,253.62,3.182
489.5,0.302,0.4,56.982,253.355,3.191
489.75,0.307,0.436,56.334,253.715,3.212
490,0.305,0.464,55.932,257.279,3.227
490.25,0.3,0.443,56.579,260.132,3.285
490.5,0.288,0.43,61.077,261.94,3.363
490.75,0.265,0.447,71.523,263.028,3.507
491,0.192,0.374,64.114,263.592,3.798
491.25,0.141,0.257,61.788,263.641,4.143
491.5,0.091,0.246,64.237,262.867,4.537
491.75,0.142,0.306,67.249,264.784,4.803
492,0.206,0.378,65.788,267.732,5.211
492.25,0.255,0.431,58.752,269.842,5.506
492.5,0.276,0.434,60.085,271.857,5.615
492.75,0.262,0.434,69.745,273.054,5.215
493,0.24,0.433,65.854,274.245,4.444
493.25,0.234,0.437,65.086,275.329,4.043
493.5,0.257,0.443,65.793,276.105,3.92
493.75,0.26,0.448,67.747,276.462,3.83
494,0.254,0.442,69.698,276.616,3.776
494.25,0.25,0.429,70.417,276.564,3.766
494.5,0.252,0.413,70.442,276.409,3.805
494.75,0.251,0.396,69.797,276.372,3.851
495,0.25,0.404,68.335,276.318,3.898
495.25,0.251,0.43,65.514,276.166,3.961
495.5,0.248,0.45,64.614,276.222,3.987
495.75,0.252,0.457,68.245,276.269,4.021
496,0.244,0.461,70.444,276.721,4.047
496.25,0.255,0.463,70.165,277.198,4.081
496.5,0.251,0.455,68.524,277.445,4.132
496.75,0.241,0.425,66.325,277.916,4.182
497,0.229,0.402,64.494,278.482,4.233
497.25,0.22,0.411,63.035,278.84,4.285
497.5,0.209,0.432,64.494,279.418,4.354
497.75,0.2,0.404,67.134,279.669,4.473
498,0.205,0.397,70.697,279.835,4.683
